arm,model_name,questions,answered,reliability,mean_entity_f1,mean_entity_precision,mean_entity_recall,count_questions_scored,count_accuracy_rate,mean_abs_count_error,field_value_accuracy,format_core_ok_rate,true_hallucination_answer_rate,avg_true_hallucinations,misspelled_kb_company_answer_rate,avg_misspelled_kb_company,kb_supported_non_company_false_positive_rate,avg_kb_supported_non_company_fp,row_id_company_mismatch_rate,avg_row_id_company_mismatch,total_row_id_company_checked,total_row_id_company_mismatch,legacy_answers_with_unknown_company_mentions_rate,inline_thinking_leak_count,avg_runtime_seconds,total_runtime_seconds,prompt_eval_min,prompt_eval_median,prompt_eval_max,research_score_deterministic,research_score_deterministic_legacy,rank_by_research_score
direct_context,qwen3.6:35b-a3b,42,42,1.0,0.8131,0.799,0.8886,36,0.7778,0.6667,0.8272,1.0,0.0,0.0,0.0238,0.0238,0.0,0.0,0.0,0.0,334,0,0.0714,0,40.0273,1681.1474,40265,40274.0,40294,0.8455,0.8384,1
direct_context,qwen3:30b,42,42,1.0,0.7659,0.8504,0.7414,36,0.5,2.0,0.7811,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0476,0.0476,190,2,0.0476,0,62.5834,2628.5019,40006,40015.0,40035,0.7618,0.7571,2
batchwise_map_reduce,qwen2.5:14b,42,42,1.0,0.5287,0.7248,0.4845,36,0.2222,3.4722,0.7038,1.0,0.0,0.0,0.0476,0.0476,0.0,0.0,0.0,0.0,105,0,0.0714,0,42.6477,1791.205,1607,1864.0,6211,0.5879,0.5808,3
batchwise_map_reduce,gemma3:12b,42,42,1.0,0.5039,0.4804,0.6853,36,0.2222,6.8056,0.7703,1.0,0.0,0.0,0.0714,0.0714,0.0,0.0,0.2381,0.8333,408,35,0.0714,0,63.5526,2669.209,1547,4860.0,31404,0.5867,0.5796,4
direct_context,deepseek-r1:32b,42,42,1.0,0.442,0.6035,0.4447,36,0.1944,5.0,0.6252,1.0,0.0238,0.0238,0.0238,0.0238,0.0238,0.0238,0.2619,0.8333,219,35,0.0238,0,54.3014,2280.6569,39999,40008.0,40028,0.5292,0.5292,5
direct_context,mistral-small3.2:24b,42,42,1.0,0.3193,0.3322,0.3289,36,0.1944,2.9167,0.5221,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857,0.381,184,16,0.0952,0,8.2539,346.6635,42004,42012.0,42034,0.4609,0.4514,6
direct_context,gemma3:27b,42,42,1.0,0.2627,0.2506,0.3998,36,0.1111,9.9167,0.677,1.0,0.0714,0.0952,0.119,0.1429,0.0238,0.0238,0.7381,2.881,389,121,0.1667,0,13.3449,560.484,39130,39138.5,39159,0.4349,0.4253,7
